Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0058122,0.00042661,-0.0010546,0,0,0,7.5142,0.024114,-1.3553E-06,1.3651E-05,0.015768,9.842E-05,0.035708,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/base_link.STL,,躯干总装-1;右腿-总装-2/PJ3-省流版(-urdf-2;左腿-总装-4/PJ3-省流版(-urdf-3;右腿-总装-镜像-1/PJ3-省流版-ur-1;左腿-总装-镜像-1/PJ3-省流版-ur-3,base_link_c,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_hip_link,-0.0026194,-0.029544,-4.8868E-06,0,0,0,0.8638,0.00022524,-4.2109E-06,-8.8602E-09,0.00027629,4.4581E-09,0.00018506,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/lf_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/lf_hip_link.STL,,左腿-总装-4/PJ3-省流版(-urdf-2;左腿-总装-4/反膝-左腿-1/大腿-1,lf_hip_link_c,lf_hip_link_a,lf_hip_roll_joint,revolute,0.268999999999999,0.0770000000000011,0.00650000000000003,0,0,0,base_link,-1,0,0,0,0,-0.87,0.87,,,,,,,,
lf_thigh_link,-0.003252,-0.028809,-0.033085,0,0,0,1.1422,0.0009913,4.4713E-06,-7.9597E-07,0.0011199,-9.902E-06,0.00029284,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/lf_thigh_link.STL,0.6,0.54118,0.85882,1,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/lf_thigh_link.STL,,左腿-总装-4/反膝-左腿-1/小腿电机固定-1;左腿-总装-4/反膝-左腿-1/大腿电机传动件-1;左腿-总装-4/PJ3-省流版(-urdf-1;左腿-总装-4/左腿-1/大腿抱箍-左腿-1;左腿-总装-4/反膝-左腿-1/M4X12-小头径-7;左腿-总装-4/反膝-左腿-1/M4-5-6塞打-8;左腿-总装-4/反膝-左腿-1/M4-5-6塞打-11;左腿-总装-4/反膝-左腿-1/M4-5-6塞打-9;左腿-总装-4/反膝-左腿-1/M4-5-6塞打-7;左腿-总装-4/反膝-左腿-1/M4-5-6塞打-12;左腿-总装-4/反膝-左腿-1/M4-5-6塞打-10;左腿-总装-4/反膝-左腿-1/M4X12-小头径-8;左腿-总装-4/反膝-左腿-1/4X12圆柱销-2;左腿-总装-4/反膝-左腿-1/M4X12-小头径-6;左腿-总装-4/反膝-左腿-1/4X12圆柱销-1;左腿-总装-4/反膝-左腿-1/M4X12-小头径-5;左腿-总装-4/左腿-1/M4X12-小头径-1;左腿-总装-4/左腿-1/M4X12-小头径-2;左腿-总装-4/左腿-1/M4X12-小头径-3;左腿-总装-4/左腿-1/M4X12-小头径-4;左腿-总装-4/左腿-1/小腿传动件-左腿-1;左腿-总装-4/左腿-1/M4-5-6塞打-1;左腿-总装-4/左腿-1/M3X14 平杯-1;左腿-总装-4/左腿-1/M4-5-6塞打-2;左腿-总装-4/左腿-1/M3X14 平杯-2;左腿-总装-4/左腿-1/M5X8平头-3;左腿-总装-4/左腿-1/M5X8平头-1;左腿-总装-4/左腿-1/M3-12-6 塞打-1;左腿-总装-4/左腿-1/M3X14 平杯-3;左腿-总装-4/左腿-1/M5X8平头-4;左腿-总装-4/左腿-1/小腿连杆-2-1;左腿-总装-4/左腿-1/M3X8 平头-1;左腿-总装-4/左腿-1/M3X8 平头-2;左腿-总装-4/左腿-1/M3X8 平头-4;左腿-总装-4/左腿-1/M3X8 平头-3;左腿-总装-4/左腿-1/M3X8 平头-5;左腿-总装-4/左腿-1/M3X8 平头-7;左腿-总装-4/左腿-1/M3X8 平头-6;左腿-总装-4/左腿-1/对锁螺母-1;左腿-总装-4/左腿-1/M5X8平头-5;左腿-总装-4/左腿-1/6X19X4推力滚针轴承-2;左腿-总装-4/左腿-1/6X19X4推力滚针轴承-1;左腿-总装-4/左腿-1/M3X27夹板倒边螺母-5;左腿-总装-4/左腿-1/M3X27夹板倒边螺母-2;左腿-总装-4/左腿-1/M3X27夹板倒边螺母-1;左腿-总装-4/左腿-1/M3X27夹板倒边螺母-6;左腿-总装-4/左腿-1/M3X27夹板倒边螺母-7;左腿-总装-4/左腿-1/M3X27夹板倒边螺母-4;左腿-总装-4/左腿-1/M3X27夹板倒边螺母-3,lf_thigh_link_c,lf_thigh_link_a,lf_hip_pitch_joint,revolute,0,0.0812604106115711,0,0,0,0,lf_hip_link,0,-1,0,0,0,-0.79,2.61,,,,,,,,
lf_calf_link,0.034924,4.1138E-07,-0.12524,0,0,0,0.0623,0.0004934,-1.2412E-09,-9.2036E-05,0.00052214,4.4504E-09,3.1089E-05,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/lf_calf_link.STL,0.6,0.54118,0.85882,1,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/lf_calf_link.STL,,左腿-总装-4/左腿-1/小腿件-4-1,lf_calf_link_c,lf_calf_link_a,lf_knee_joint,revolute,0,0,-0.2125,0,0,0,lf_thigh_link,0,-1,0,0,0,-2.75,-0.55,,,,,,,,
lf_foot_link,-0.0087141,-7.9857E-05,-0.0060694,0,0,0,0.05601,1.3653E-05,-6.0362E-08,-3.9616E-07,1.4566E-05,-3.8727E-08,1.292E-05,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/lf_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/lf_foot_link.STL,,左腿-总装-4/左腿-1/狗足示意-1,lf_foot_link_c,Axis_lf_ankle_joint5,lf_ankle_joint,fixed,0.024152672337318,0,-0.238616236023326,0,0,0,lf_calf_link,0,0,0,,,,,,,,,,,,
rf_hip_link,-0.0026194,0.030493,4.8868E-06,0,0,0,0.8638,0.00022524,4.2109E-06,8.8602E-09,0.00027629,4.4582E-09,0.00018506,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/rf_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/rf_hip_link.STL,,右腿-总装-2/PJ3-省流版(-urdf-3;右腿-总装-2/反膝-左腿-1/大腿-1,rf_hip_link_c,rf_hip_link_a,rf_hip_roll_joint,revolute,0.269,-0.0769999999999989,0.00649999999999984,0,0,0,base_link,1,0,0,0,0,-0.87,0.87,,,,,,,,
rf_thigh_link,-0.0033202,0.028778,-0.032834,0,0,0,1.1422,0.00096723,9.9507E-07,-1.2485E-05,0.0011219,7.1624E-06,0.00031907,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/rf_thigh_link.STL,0.6,0.54118,0.85882,1,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/rf_thigh_link.STL,,右腿-总装-2/反膝-左腿-1/大腿电机传动件-1;右腿-总装-2/反膝-左腿-1/小腿电机固定-1;右腿-总装-2/PJ3-省流版(-urdf-1;右腿-总装-2/反膝-左腿-1/M4-5-6塞打-11;右腿-总装-2/反膝-左腿-1/M4-5-6塞打-7;右腿-总装-2/反膝-左腿-1/M4X12-小头径-7;右腿-总装-2/反膝-左腿-1/M4X12-小头径-8;右腿-总装-2/反膝-左腿-1/4X12圆柱销-2;右腿-总装-2/反膝-左腿-1/M4-5-6塞打-8;右腿-总装-2/反膝-左腿-1/M4-5-6塞打-9;右腿-总装-2/反膝-左腿-1/M4X12-小头径-6;右腿-总装-2/反膝-左腿-1/4X12圆柱销-1;右腿-总装-2/反膝-左腿-1/M4X12-小头径-5;右腿-总装-2/反膝-左腿-1/M4-5-6塞打-10;右腿-总装-2/反膝-左腿-1/M4-5-6塞打-12;右腿-总装-2/右腿-1/大腿抱箍-1;右腿-总装-2/右腿-1/小腿传动件-2-1;右腿-总装-2/右腿-1/小腿连杆-2-1;右腿-总装-2/右腿-1/6X19X4推力滚针轴承-1;右腿-总装-2/右腿-1/6X19X4推力滚针轴承-2;右腿-总装-2/右腿-1/对锁螺母-1;右腿-总装-2/右腿-1/M5X8平头-5;右腿-总装-2/右腿-1/M3X27夹板倒边螺母-3;右腿-总装-2/右腿-1/M3X27夹板倒边螺母-4;右腿-总装-2/右腿-1/M3X27夹板倒边螺母-7;右腿-总装-2/右腿-1/M3X27夹板倒边螺母-1;右腿-总装-2/右腿-1/M3X27夹板倒边螺母-2;右腿-总装-2/右腿-1/M3X27夹板倒边螺母-5;右腿-总装-2/右腿-1/M3X27夹板倒边螺母-6;右腿-总装-2/右腿-1/M3X8 平头-5;右腿-总装-2/右腿-1/M3X8 平头-7;右腿-总装-2/右腿-1/M3X8 平头-6;右腿-总装-2/右腿-1/M3X8 平头-1;右腿-总装-2/右腿-1/M3X8 平头-2;右腿-总装-2/右腿-1/M3X8 平头-4;右腿-总装-2/右腿-1/M3X8 平头-3;右腿-总装-2/右腿-1/M5X8平头-1;右腿-总装-2/右腿-1/M5X8平头-3;右腿-总装-2/右腿-1/M5X8平头-4;右腿-总装-2/右腿-1/M4-12-6塞打-1;右腿-总装-2/右腿-1/M3X14 平杯-2;右腿-总装-2/右腿-1/M4-5-6塞打-2;右腿-总装-2/右腿-1/M3X14 平杯-3;右腿-总装-2/右腿-1/M4-5-6塞打-1;右腿-总装-2/右腿-1/M3X14 平杯-1;右腿-总装-2/右腿-1/M4X12-小头径-4;右腿-总装-2/右腿-1/M4X12-小头径-3;右腿-总装-2/右腿-1/M4X12-小头径-2;右腿-总装-2/右腿-1/M4X12-小头径-1,rf_thigh_link_c,rf_thigh_link_a,rf_hip_pitch_joint,revolute,0,-0.0812604106115723,0,0,0,0,rf_hip_link,0,-1,0,0,0,-0.79,2.61,,,,,,,,
rf_calf_link,0.034924,4.1138E-07,-0.12524,0,0,0,0.0623,0.0004934,-1.2412E-09,-9.2036E-05,0.00052214,4.4504E-09,3.1089E-05,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/rf_calf_link.STL,0.6,0.54118,0.85882,1,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/rf_calf_link.STL,,右腿-总装-2/右腿-1/小腿件-4-1,rf_calf_link_c,rf_calf_link_a,rf_knee_joint,revolute,0,0,-0.2125,0,0,0,rf_thigh_link,0,1,0,0,0,-2.75,-0.55,,,,,,,,
rf_foot_link,-0.0087141,-7.9857E-05,-0.0060694,0,0,0,0.05601,1.3653E-05,-6.0362E-08,-3.9616E-07,1.4566E-05,-3.8727E-08,1.292E-05,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/rf_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/rf_foot_link.STL,,右腿-总装-2/右腿-1/狗足示意-1,rf_foot_link_c,Axis_rf_ankle_joint,rf_ankle_joint,fixed,0.0241526723373164,0,-0.238616236023326,0,0,0,rf_calf_link,0,0,0,,,,,,,,,,,,
lb_hip_link,0.0026194,-0.029544,4.8869E-06,0,0,0,0.8638,0.00022524,4.2109E-06,-8.86E-09,0.00027629,-4.4581E-09,0.00018506,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/lb_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://RC_dog_1.0_description_20260612_5/meshes/lb_hip_link.STL,,左腿-总装-镜像-1/PJ3-省流版-ur-4;左腿-总装-镜像-1/反膝-左腿-1/大腿-1,lb_hip_link_c,lb_hip_link_a,lb_hip_roll_joint,revolute,-0.269,0.0769999999999991,0.00649999999999998,0,0,0,base_link,-1,0,0,0,0,-0.87,0.87,,,,,,,,
